File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\createuser.aspx,73,46,0,0,27,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\edituser.aspx,147,115,0,0,32,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\footer.aspx,53,31,0,0,22,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\header.aspx,23,16,0,0,7,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\manageuser.aspx,84,46,0,0,38,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\menu.aspx,28,26,0,0,2,1,0,1,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\admin.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\approvearticles.aspx.cs,29,20,14,0,9,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\approveindividual.aspx.cs,85,49,37,2,36,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\createuser.aspx.cs,46,32,26,0,14,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\edituser.aspx.cs,85,53,41,2,30,0,2,2,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\header.aspx.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Raymond\Documents\GitHub\CSC2024Project2\secure\editor\manageuser.aspx.cs,43,18,12,0,25,0,0,0,0,0
